Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
2026-05-20T19:33:01+08:00
Running /Users/yunhaowang/mk-rlwe-prototype/SEAL/build/bin/sealbench
Run on (8 X 24.1203 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 4.03, 5.59, 5.00
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=2048 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            16.7 us         16.4 us           10
n=2048 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            17.5 us         17.2 us           10
n=4096 / log(q)=109 / KeyGen / Secret/iterations:10                         430 us          410 us           10
n=4096 / log(q)=109 / KeyGen / Public/iterations:10                         934 us          889 us           10
n=4096 / log(q)=109 / KeyGen / Relin/iterations:10                         2135 us         1941 us           10
n=4096 / log(q)=109 / KeyGen / Galois/iterations:10                        1932 us         1837 us           10
n=4096 / log(q)=109 / BFV / EncryptSecret/iterations:10                     885 us          820 us           10
n=4096 / log(q)=109 / BFV / EncryptPublic/iterations:10                    1571 us         1378 us           10
n=4096 / log(q)=109 / BFV / Decrypt/iterations:10                           337 us          309 us           10
n=4096 / log(q)=109 / BFV / EncodeBatch/iterations:10                      57.6 us         51.1 us           10
n=4096 / log(q)=109 / BFV / DecodeBatch/iterations:10                      59.4 us         57.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateAddCt/iterations:10                    25.3 us         25.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateAddPt/iterations:10                    62.3 us         60.3 us           10
n=4096 / log(q)=109 / BFV / EvaluateNegate/iterations:10                   19.1 us         19.0 us           10
n=4096 / log(q)=109 / BFV / EvaluateSubCt/iterations:10                    33.3 us         26.4 us           10
n=4096 / log(q)=109 / BFV / EvaluateSubPt/iterations:10                    59.6 us         56.9 us           10
n=4096 / log(q)=109 / BFV / EvaluateMulCt/iterations:10                    3219 us         3061 us           10
n=4096 / log(q)=109 / BFV / EvaluateMulPt/iterations:10                     504 us          477 us           10
n=4096 / log(q)=109 / BFV / EvaluateSquare/iterations:10                   2571 us         2354 us           10
n=4096 / log(q)=109 / BFV / EvaluateModSwitchInplace/iterations:10         45.2 us         44.8 us           10
n=4096 / log(q)=109 / BFV / EvaluateRelinInplace/iterations:10              652 us          628 us           10
n=4096 / log(q)=109 / BFV / EvaluateRotateRows/iterations:10                737 us          684 us           10
n=4096 / log(q)=109 / BFV / EvaluateRotateCols/iterations:10                666 us          645 us           10
n=4096 / log(q)=109 / BGV / EncryptSecret/iterations:10                     910 us          853 us           10
n=4096 / log(q)=109 / BGV / EncryptPublic/iterations:10                    1729 us         1641 us           10
n=4096 / log(q)=109 / BGV / Decrypt/iterations:10                           214 us          188 us           10
n=4096 / log(q)=109 / BGV / EncodeBatch/iterations:10                      41.2 us         41.2 us           10
n=4096 / log(q)=109 / BGV / DecodeBatch/iterations:10                      56.5 us         54.4 us           10
n=4096 / log(q)=109 / BGV / EvaluateNegate/iterations:10                   21.7 us         21.1 us           10
n=4096 / log(q)=109 / BGV / EvaluateNegateInplace/iterations:10            20.1 us         18.7 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddCt/iterations:10                    24.0 us         24.2 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddCtInplace/iterations:10             23.3 us         19.7 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddPt/iterations:10                     163 us          160 us           10
n=4096 / log(q)=109 / BGV / EvaluateAddPtInplace/iterations:10              192 us          168 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulCt/iterations:10                     113 us          107 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulCtInplace/iterations:10              131 us          113 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulPt/iterations:10                     228 us          203 us           10
n=4096 / log(q)=109 / BGV / EvaluateMulPtInplace/iterations:10              205 us          190 us           10
n=4096 / log(q)=109 / BGV / EvaluateSquare/iterations:10                   95.1 us         87.0 us           10
n=4096 / log(q)=109 / BGV / EvaluateSquareInplace/iterations:10            97.2 us         86.4 us           10
n=4096 / log(q)=109 / BGV / EvaluateModSwitchInplace/iterations:10          262 us          238 us           10
n=4096 / log(q)=109 / BGV / EvaluateRelinInplace/iterations:10              787 us          739 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateRows/iterations:10                840 us          784 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateRowsInplace/iterations:10         910 us          822 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateCols/iterations:10                904 us          805 us           10
n=4096 / log(q)=109 / BGV / EvaluateRotateColsInplace/iterations:10         825 us          765 us           10
n=4096 / log(q)=109 / BGV / EvaluateToNTTInplace/iterations:10              202 us          192 us           10
n=4096 / log(q)=109 / BGV / EvaluateFromNTTInplace/iterations:10            180 us          157 us           10
n=4096 / log(q)=109 / CKKS / EncryptSecret/iterations:10                    798 us          730 us           10
n=4096 / log(q)=109 / CKKS / EncryptPublic/iterations:10                   1685 us         1520 us           10
n=4096 / log(q)=109 / CKKS / Decrypt/iterations:10                         45.9 us         43.9 us           10
n=4096 / log(q)=109 / CKKS / EncodeDouble/iterations:10                     255 us          228 us           10
n=4096 / log(q)=109 / CKKS / DecodeDouble/iterations:10                     343 us          321 us           10
n=4096 / log(q)=109 / CKKS / EvaluateAddCt/iterations:10                   28.4 us         25.9 us           10
n=4096 / log(q)=109 / CKKS / EvaluateAddPt/iterations:10                   14.6 us         14.4 us           10
n=4096 / log(q)=109 / CKKS / EvaluateNegate/iterations:10                  18.4 us         18.8 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSubCt/iterations:10                   37.6 us         27.5 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSubPt/iterations:10                   17.3 us         14.7 us           10
n=4096 / log(q)=109 / CKKS / EvaluateMulCt/iterations:10                    128 us          116 us           10
n=4096 / log(q)=109 / CKKS / EvaluateMulPt/iterations:10                   56.0 us         52.8 us           10
n=4096 / log(q)=109 / CKKS / EvaluateSquare/iterations:10                   102 us         91.3 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRescaleInplace/iterations:10           199 us          180 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRelinInplace/iterations:10             698 us          645 us           10
n=4096 / log(q)=109 / CKKS / EvaluateRotate/iterations:10                   727 us          675 us           10
n=4096 / log(q)=109 / UTIL / NTTForward/iterations:10                       218 us          201 us           10
n=4096 / log(q)=109 / UTIL / NTTInverse/iterations:10                       159 us          150 us           10
n=4096 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                54.5 us         51.3 us           10
n=4096 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                46.9 us         41.5 us           10
n=4096 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            33.5 us         33.5 us           10
n=4096 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            42.2 us         38.1 us           10
n=8192 / log(q)=218 / KeyGen / Secret/iterations:10                        1248 us         1097 us           10
n=8192 / log(q)=218 / KeyGen / Public/iterations:10                        2995 us         2736 us           10
n=8192 / log(q)=218 / KeyGen / Relin/iterations:10                        12197 us        10932 us           10
n=8192 / log(q)=218 / KeyGen / Galois/iterations:10                       12188 us        11026 us           10
n=8192 / log(q)=218 / BFV / EncryptSecret/iterations:10                    4443 us         3126 us           10
n=8192 / log(q)=218 / BFV / EncryptPublic/iterations:10                    3702 us         3462 us           10
n=8192 / log(q)=218 / BFV / Decrypt/iterations:10                          1199 us         1122 us           10
n=8192 / log(q)=218 / BFV / EncodeBatch/iterations:10                      98.1 us         94.0 us           10
n=8192 / log(q)=218 / BFV / DecodeBatch/iterations:10                       118 us          117 us           10
n=8192 / log(q)=218 / BFV / EvaluateAddCt/iterations:10                     106 us         95.0 us           10
n=8192 / log(q)=218 / BFV / EvaluateAddPt/iterations:10                     197 us          185 us           10
n=8192 / log(q)=218 / BFV / EvaluateNegate/iterations:10                   69.3 us         67.0 us           10
n=8192 / log(q)=218 / BFV / EvaluateSubCt/iterations:10                    73.8 us         72.7 us           10
n=8192 / log(q)=218 / BFV / EvaluateSubPt/iterations:10                     172 us          166 us           10
n=8192 / log(q)=218 / BFV / EvaluateMulCt/iterations:10                   13230 us        12080 us           10
n=8192 / log(q)=218 / BFV / EvaluateMulPt/iterations:10                    2192 us         2018 us           10
n=8192 / log(q)=218 / BFV / EvaluateSquare/iterations:10                  10575 us         8991 us           10
n=8192 / log(q)=218 / BFV / EvaluateModSwitchInplace/iterations:10          247 us          229 us           10
n=8192 / log(q)=218 / BFV / EvaluateRelinInplace/iterations:10             3585 us         3355 us           10
n=8192 / log(q)=218 / BFV / EvaluateRotateRows/iterations:10               3657 us         3425 us           10
n=8192 / log(q)=218 / BFV / EvaluateRotateCols/iterations:10               3479 us         3337 us           10
n=8192 / log(q)=218 / BGV / EncryptSecret/iterations:10                    3040 us         2863 us           10
n=8192 / log(q)=218 / BGV / EncryptPublic/iterations:10                    5335 us         5017 us           10
n=8192 / log(q)=218 / BGV / Decrypt/iterations:10                           761 us          703 us           10
n=8192 / log(q)=218 / BGV / EncodeBatch/iterations:10                       101 us         96.0 us           10
